current_node,neighbor,manhattan_distance,shortest_path_distance_to_target,is_greedy_best,is_shortest_path_best,edge_type
"(0, 0)","(1, 0)",2,2,True,True,LOCAL
"(0, 0)","(0, 1)",2,2,True,True,SHORTCUT
"(0, 1)","(1, 1)",1,1,True,True,SHORTCUT
"(0, 1)","(0, 2)",1,1,True,True,LOCAL
"(0, 1)","(0, 0)",3,3,False,False,LOCAL
"(0, 2)","(1, 2)",0,0,True,True,LOCAL
"(0, 2)","(0, 3)",2,2,False,False,SHORTCUT
"(0, 2)","(0, 1)",2,2,False,False,LOCAL
"(0, 3)","(1, 3)",1,1,True,True,LOCAL
"(0, 3)","(0, 4)",3,3,False,False,LOCAL
"(0, 3)","(0, 2)",1,1,True,True,LOCAL
"(0, 3)","(2, 2)",1,1,True,True,SHORTCUT
"(0, 4)","(1, 4)",2,2,True,True,SHORTCUT
"(0, 4)","(0, 5)",4,4,False,False,LOCAL
"(0, 4)","(0, 3)",2,2,True,True,LOCAL
"(0, 5)","(1, 5)",3,3,True,True,LOCAL
"(0, 5)","(0, 4)",3,3,True,True,SHORTCUT
"(1, 0)","(2, 0)",3,3,False,False,LOCAL
"(1, 0)","(0, 0)",3,3,False,False,SHORTCUT
"(1, 0)","(1, 1)",1,1,True,True,LOCAL
"(1, 1)","(2, 1)",2,2,False,False,SHORTCUT
"(1, 1)","(0, 1)",2,2,False,False,LOCAL
"(1, 1)","(1, 2)",0,0,True,True,LOCAL
"(1, 1)","(1, 0)",2,2,False,False,LOCAL
"(1, 2)","(2, 2)",1,1,True,True,SHORTCUT
"(1, 2)","(0, 2)",1,1,True,True,LOCAL
"(1, 2)","(1, 3)",1,1,True,True,LOCAL
"(1, 2)","(1, 1)",1,1,True,True,LOCAL
"(1, 3)","(2, 3)",2,2,False,False,SHORTCUT
"(1, 3)","(0, 3)",2,2,False,False,LOCAL
"(1, 3)","(1, 4)",2,2,False,False,LOCAL
"(1, 3)","(1, 2)",0,0,True,True,LOCAL
"(1, 4)","(2, 4)",3,3,False,False,LOCAL
"(1, 4)","(0, 4)",3,3,False,False,LOCAL
"(1, 4)","(1, 5)",3,3,False,False,SHORTCUT
"(1, 4)","(1, 3)",1,1,True,True,LOCAL
"(1, 5)","(2, 5)",4,2,False,True,LOCAL
"(1, 5)","(0, 5)",4,4,False,False,LOCAL
"(1, 5)","(1, 4)",2,2,True,True,LOCAL
"(1, 5)","(3, 5)",5,3,False,False,SHORTCUT
"(2, 0)","(3, 0)",4,4,False,False,LOCAL
"(2, 0)","(1, 0)",2,2,False,False,LOCAL
"(2, 0)","(2, 1)",2,2,False,False,LOCAL
"(2, 0)","(0, 2)",1,1,True,True,SHORTCUT
"(2, 1)","(3, 1)",3,3,False,False,LOCAL
"(2, 1)","(1, 1)",1,1,True,True,LOCAL
"(2, 1)","(2, 2)",1,1,True,True,LOCAL
"(2, 1)","(2, 0)",3,3,False,False,LOCAL
"(2, 1)","(1, 0)",2,2,False,False,SHORTCUT
"(2, 2)","(3, 2)",2,2,False,False,LOCAL
"(2, 2)","(1, 2)",0,0,True,True,LOCAL
"(2, 2)","(2, 3)",2,2,False,False,LOCAL
"(2, 2)","(2, 1)",2,2,False,False,LOCAL
"(2, 2)","(2, 5)",4,2,False,False,SHORTCUT
"(2, 3)","(3, 3)",3,3,False,False,LOCAL
"(2, 3)","(1, 3)",1,1,True,True,LOCAL
"(2, 3)","(2, 4)",3,3,False,False,LOCAL
"(2, 3)","(2, 2)",1,1,True,True,LOCAL
"(2, 3)","(4, 2)",3,3,False,False,SHORTCUT
"(2, 4)","(3, 4)",4,4,False,False,LOCAL
"(2, 4)","(1, 4)",2,2,True,True,LOCAL
"(2, 4)","(2, 5)",4,2,False,True,LOCAL
"(2, 4)","(2, 3)",2,2,True,True,LOCAL
"(2, 4)","(1, 0)",2,2,True,True,SHORTCUT
"(2, 5)","(3, 5)",5,3,False,True,SHORTCUT
"(2, 5)","(1, 5)",3,3,True,True,LOCAL
"(2, 5)","(2, 4)",3,3,True,True,LOCAL
"(3, 0)","(4, 0)",5,5,False,False,LOCAL
"(3, 0)","(2, 0)",3,3,False,False,LOCAL
"(3, 0)","(3, 1)",3,3,False,False,LOCAL
"(3, 0)","(1, 0)",2,2,True,True,SHORTCUT
"(3, 1)","(4, 1)",4,4,False,False,LOCAL
"(3, 1)","(2, 1)",2,2,False,False,LOCAL
"(3, 1)","(3, 2)",2,2,False,False,LOCAL
"(3, 1)","(3, 0)",4,4,False,False,LOCAL
"(3, 1)","(2, 2)",1,1,True,True,SHORTCUT
"(3, 2)","(4, 2)",3,3,False,False,SHORTCUT
"(3, 2)","(2, 2)",1,1,True,True,LOCAL
"(3, 2)","(3, 3)",3,3,False,False,LOCAL
"(3, 2)","(3, 1)",3,3,False,False,LOCAL
"(3, 3)","(4, 3)",4,4,False,False,LOCAL
"(3, 3)","(2, 3)",2,2,True,True,LOCAL
"(3, 3)","(3, 4)",4,4,False,False,LOCAL
"(3, 3)","(3, 2)",2,2,True,True,LOCAL
"(3, 3)","(2, 4)",3,3,False,False,SHORTCUT
"(3, 4)","(4, 4)",5,5,False,False,LOCAL
"(3, 4)","(2, 4)",3,3,True,True,LOCAL
"(3, 4)","(3, 5)",5,3,False,True,LOCAL
"(3, 4)","(3, 3)",3,3,True,True,LOCAL
"(3, 4)","(4, 5)",6,4,False,False,SHORTCUT
"(3, 5)","(4, 5)",6,4,False,False,LOCAL
"(3, 5)","(2, 5)",4,2,False,True,LOCAL
"(3, 5)","(3, 4)",4,4,False,False,LOCAL
"(3, 5)","(1, 4)",2,2,True,True,SHORTCUT
"(4, 0)","(5, 0)",6,5,False,False,LOCAL
"(4, 0)","(3, 0)",4,4,False,False,LOCAL
"(4, 0)","(4, 1)",4,4,False,False,LOCAL
"(4, 0)","(3, 1)",3,3,True,True,SHORTCUT
"(4, 1)","(5, 1)",5,5,False,False,LOCAL
"(4, 1)","(3, 1)",3,3,True,True,LOCAL
"(4, 1)","(4, 2)",3,3,True,True,LOCAL
"(4, 1)","(4, 0)",5,5,False,False,LOCAL
"(4, 1)","(5, 4)",6,5,False,False,SHORTCUT
"(4, 2)","(5, 2)",4,4,False,False,LOCAL
"(4, 2)","(3, 2)",2,2,True,True,LOCAL
"(4, 2)","(4, 3)",4,4,False,False,LOCAL
"(4, 2)","(4, 1)",4,4,False,False,LOCAL
"(4, 2)","(2, 4)",3,3,False,False,SHORTCUT
"(4, 3)","(5, 3)",5,5,False,False,LOCAL
"(4, 3)","(3, 3)",3,3,True,True,LOCAL
"(4, 3)","(4, 4)",5,5,False,False,LOCAL
"(4, 3)","(4, 2)",3,3,True,True,LOCAL
"(4, 3)","(5, 4)",6,5,False,False,SHORTCUT
"(4, 4)","(5, 4)",6,5,False,False,LOCAL
"(4, 4)","(3, 4)",4,4,True,True,SHORTCUT
"(4, 4)","(4, 5)",6,4,False,True,LOCAL
"(4, 4)","(4, 3)",4,4,True,True,LOCAL
"(4, 5)","(5, 5)",7,5,False,False,LOCAL
"(4, 5)","(3, 5)",5,3,True,True,LOCAL
"(4, 5)","(4, 4)",5,5,True,False,LOCAL
"(4, 5)","(5, 0)",6,5,False,False,SHORTCUT
"(5, 0)","(4, 0)",5,5,True,True,LOCAL
"(5, 0)","(5, 1)",5,5,True,True,SHORTCUT
"(5, 1)","(4, 1)",4,4,True,True,SHORTCUT
"(5, 1)","(5, 2)",4,4,True,True,LOCAL
"(5, 1)","(5, 0)",6,5,False,False,LOCAL
"(5, 2)","(4, 2)",3,3,False,False,LOCAL
"(5, 2)","(5, 3)",5,5,False,False,LOCAL
"(5, 2)","(5, 1)",5,5,False,False,LOCAL
"(5, 2)","(2, 3)",2,2,True,True,SHORTCUT
"(5, 3)","(4, 3)",4,4,True,True,LOCAL
"(5, 3)","(5, 4)",6,5,False,False,LOCAL
"(5, 3)","(5, 2)",4,4,True,True,LOCAL
"(5, 3)","(4, 5)",6,4,False,True,SHORTCUT
"(5, 4)","(4, 4)",5,5,True,True,LOCAL
"(5, 4)","(5, 5)",7,5,False,True,LOCAL
"(5, 4)","(5, 3)",5,5,True,True,SHORTCUT
"(5, 5)","(4, 5)",6,4,False,False,LOCAL
"(5, 5)","(5, 4)",6,5,False,False,LOCAL
"(5, 5)","(1, 2)",0,0,True,True,SHORTCUT
